date,description,amount,category
2023-11-14,Stock Options,"Rs 75,983.00",Income
2023-11-15,Spotify Premium,Rs 119.00,Subscriptions
2023-11-16,Stock Options,"Rs 280,324.58",Income
2023-11-16,Fine Dining Restaurant,"Rs 14,421.62",Food & Dining
2023-11-17,BookMyShow Tickets,"Rs 1,365.89",Entertainment
2023-11-18,Fine Dining Restaurant,"Rs 4,693.61",Food & Dining
2023-11-19,Myntra Fashion,"Rs 1,968.34",Shopping
2023-11-19,Golf Club Membership,"Rs 9,346.66",Healthcare
2023-11-19,Rental Income,"Rs 36,311.76",Income
2023-11-20,Swiggy Order,Rs 822.26,Food & Dining
2023-11-20,BMW Service Center,"Rs 43,654.04",Transportation
2023-11-20,Swiggy Order,Rs 590.36,Food & Dining
2023-11-21,BMW Service Center,"Rs 15,402.23",Transportation
2023-11-21,Chartered Accountant,"Rs 37,991.34",Miscellaneous
2023-11-22,Business Profit Transfer,"Rs 206,215.60",Income
2023-11-23,DMart Purchase,Rs 863.89,Groceries
2023-11-23,Amazon Prime,Rs 280.73,Subscriptions
2023-11-25,Rental Income,"Rs 21,824.20",Income
2023-11-25,Flipkart Order,"Rs 4,451.74",Shopping
2023-11-26,BookMyShow Tickets,Rs 741.73,Entertainment
2023-11-27,Hotstar Subscription,Rs 385.65,Subscriptions
2023-11-28,Golf Club Membership,"Rs 27,925.39",Healthcare
2023-11-28,Netflix Subscription,Rs 159.65,Subscriptions
2023-11-28,Rental Income,"Rs 68,510.27",Income
2023-11-30,Rental Income,"Rs 31,225.03",Income
2023-12-01,Golf Club Membership,"Rs 20,308.47",Healthcare
2023-12-01,Investment Advisory Fee,"Rs 5,995.53",Miscellaneous
2023-12-01,Swiggy Order,Rs 581.77,Food & Dining
2023-12-02,Designer Brand Store,"Rs 5,046.00",Shopping
2023-12-02,Premium Whisky Shop,"Rs 11,516.88",Food & Dining
2023-12-03,Business Class Flight,"Rs 147,828.44",Travel
2023-12-04,Hotstar Subscription,Rs 547.54,Subscriptions
2023-12-04,Salary CTC Credit,"Rs 457,113.33",Income
2023-12-05,BigBasket Groceries,"Rs 1,932.69",Groceries
2023-12-07,Stock Options,"Rs 247,676.43",Income
2023-12-07,Amazon Purchase,"Rs 4,174.51",Shopping
2023-12-08,Investment Advisory Fee,"Rs 15,190.19",Miscellaneous
2023-12-09,Uber Ride,Rs 187.94,Transportation
2023-12-10,Golf Club Membership,"Rs 18,335.32",Healthcare
2023-12-11,BigBasket Groceries,"Rs 3,394.16",Groceries
2023-12-12,More Supermarket,Rs 291.49,Groceries
2023-12-12,Swiggy Order,Rs 614.33,Food & Dining
2023-12-13,Security System,"Rs 19,581.55",Housing
2023-12-13,Parking Premium Mall,Rs 782.33,Transportation
2023-12-13,Uber Ride,Rs 115.33,Transportation
2023-12-14,More Supermarket,"Rs 1,108.83",Groceries
2023-12-14,Hotstar Subscription,Rs 453.30,Subscriptions
2023-12-15,Reliance Fresh,Rs 581.90,Groceries
2023-12-16,Meesho Order,"Rs 1,125.89",Shopping
2023-12-17,Rental Income,"Rs 42,882.72",Income
2023-12-17,Premium Gym,"Rs 2,936.55",Healthcare
2023-12-18,Uber Ride,Rs 193.28,Transportation
2023-12-19,BigBasket Groceries,Rs 881.78,Groceries
2023-12-19,Netflix Subscription,Rs 496.07,Subscriptions
2023-12-19,Amazon Purchase,"Rs 4,570.99",Shopping
2023-12-19,BMW Service Center,"Rs 33,253.83",Transportation
2023-12-20,Investment Advisory Fee,"Rs 19,242.81",Miscellaneous
2023-12-20,Investment Advisory Fee,"Rs 14,578.60",Miscellaneous
2023-12-20,Spotify Premium,Rs 119.00,Subscriptions
2023-12-20,Ola Cab,Rs 196.92,Transportation
2023-12-21,Meesho Order,Rs 259.68,Shopping
2023-12-22,Interest Credit,"Rs 23,968.40",Income
2023-12-22,Interior Design Service,"Rs 126,209.02",Housing
2023-12-22,Interior Design Service,"Rs 185,859.15",Housing
2023-12-23,Ola Cab,Rs 336.72,Transportation
2023-12-24,Rapido Bike Taxi,Rs 60.23,Transportation
2023-12-24,Parking Premium Mall,Rs 679.08,Transportation
2023-12-24,Zomato Food Delivery,Rs 762.19,Food & Dining
2023-12-25,Golf Club Membership,"Rs 23,666.79",Healthcare
2023-12-26,Premium Gym,"Rs 3,451.56",Healthcare
2023-12-26,Security System,"Rs 24,922.66",Housing
2023-12-27,Amazon Purchase,"Rs 6,779.82",Shopping
2023-12-28,Stock Options,"Rs 91,089.78",Income
2023-12-30,Dividend Credit,"Rs 68,382.88",Income
2023-12-31,Parking Premium Mall,Rs 776.47,Transportation
2024-01-01,Ola Cab,Rs 389.65,Transportation
2024-01-02,Chartered Accountant,"Rs 19,257.24",Miscellaneous
2024-01-03,Dividend Credit,"Rs 10,784.16",Income
2024-01-04,Flipkart Order,"Rs 2,263.40",Shopping
2024-01-04,Stock Options,"Rs 136,994.70",Income
2024-01-04,Rental Income,"Rs 56,618.29",Income
2024-01-06,Reliance Fresh,Rs 995.57,Groceries
2024-01-07,Interest Credit,"Rs 7,771.44",Income
2024-01-08,BigBasket Groceries,"Rs 3,410.96",Groceries
2024-01-08,BookMyShow Tickets,Rs 290.30,Entertainment
2024-01-08,BMW Service Center,"Rs 14,590.83",Transportation
2024-01-09,DMart Purchase,"Rs 2,358.26",Groceries
2024-01-10,BMW Service Center,"Rs 43,412.49",Transportation
2024-01-10,Investment Advisory Fee,"Rs 13,760.60",Miscellaneous
2024-01-10,Uber Ride,Rs 303.79,Transportation
2024-01-11,BMW Service Center,"Rs 34,804.82",Transportation
2024-01-11,Golf Club Membership,"Rs 14,740.25",Healthcare
2024-01-12,Business Class Flight,"Rs 103,319.52",Travel
2024-01-13,Ola Cab,Rs 384.66,Transportation
2024-01-13,Premium Whisky Shop,"Rs 3,529.66",Food & Dining
2024-01-14,Dividend Credit,"Rs 28,041.11",Income
2024-01-14,Annual Bonus,"Rs 374,771.95",Income
2024-01-14,Netflix Subscription,Rs 221.79,Subscriptions
2024-01-17,Dividend Credit,"Rs 56,579.72",Income
2024-01-17,Myntra Fashion,"Rs 2,215.13",Shopping
2024-01-17,BookMyShow Tickets,Rs 368.90,Entertainment
2024-01-17,Myntra Fashion,"Rs 3,846.07",Shopping
2024-01-18,Salary CTC Credit,"Rs 208,923.94",Income
2024-01-19,DMart Purchase,"Rs 1,084.91",Groceries
2024-01-19,Ola Cab,Rs 473.74,Transportation
2024-01-19,Security System,"Rs 23,198.46",Housing
2024-01-20,Premium Whisky Shop,"Rs 4,999.27",Food & Dining
2024-01-20,Ajio Clothing,"Rs 1,861.06",Shopping
2024-01-21,Premium Gym,"Rs 2,640.18",Healthcare
2024-01-21,Ola Cab,Rs 389.79,Transportation
2024-01-22,Amazon Prime,Rs 409.08,Subscriptions
2024-01-23,Designer Brand Store,"Rs 13,663.52",Shopping
2024-01-24,Ajio Clothing,"Rs 2,752.97",Shopping
2024-01-24,Hotstar Subscription,Rs 886.56,Subscriptions
2024-01-24,Interior Design Service,"Rs 154,077.23",Housing
2024-01-26,Amazon Prime,Rs 243.25,Subscriptions
2024-01-27,Swiggy Order,Rs 724.85,Food & Dining
2024-01-27,Chartered Accountant,"Rs 30,688.65",Miscellaneous
2024-01-29,Interior Design Service,"Rs 130,656.85",Housing
2024-01-29,DMart Purchase,"Rs 1,806.71",Groceries
2024-01-30,Investment Advisory Fee,"Rs 12,795.42",Miscellaneous
2024-01-30,Designer Brand Store,"Rs 35,657.38",Shopping
2024-01-31,Investment Advisory Fee,"Rs 9,294.12",Miscellaneous
2024-02-01,Rental Income,"Rs 63,048.11",Income
2024-02-02,5-Star Hotel,"Rs 25,982.44",Travel
2024-02-03,Amazon Prime,Rs 352.44,Subscriptions
2024-02-03,Reliance Fresh,"Rs 1,303.89",Groceries
2024-02-04,Designer Brand Store,"Rs 98,092.63",Shopping
2024-02-04,Swiggy Order,Rs 883.80,Food & Dining
2024-02-04,Annual Bonus,"Rs 300,358.97",Income
2024-02-05,Amazon Prime,Rs 682.79,Subscriptions
2024-02-05,Investment Advisory Fee,"Rs 7,704.55",Miscellaneous
2024-02-07,BMW Service Center,"Rs 37,245.73",Transportation
2024-02-07,Swiggy Order,Rs 435.25,Food & Dining
2024-02-07,Rental Income,"Rs 77,443.25",Income
2024-02-07,Ajio Clothing,"Rs 3,354.22",Shopping
2024-02-07,Premium Whisky Shop,"Rs 11,175.96",Food & Dining
2024-02-08,Fine Dining Restaurant,"Rs 10,253.20",Food & Dining
2024-02-09,Amazon Purchase,"Rs 3,642.27",Shopping
2024-02-11,Business Profit Transfer,"Rs 140,843.97",Income
2024-02-11,Rapido Bike Taxi,Rs 120.33,Transportation
2024-02-11,Myntra Fashion,Rs 689.96,Shopping
2024-02-11,Business Profit Transfer,"Rs 149,461.39",Income
2024-02-12,Security System,"Rs 6,599.63",Housing
2024-02-14,Luxury Watch Service,"Rs 12,992.72",Shopping
2024-02-14,5-Star Hotel,"Rs 18,413.90",Travel
2024-02-14,Golf Club Membership,"Rs 5,871.76",Healthcare
2024-02-15,Uber Ride,Rs 435.55,Transportation
2024-02-16,Ola Cab,Rs 139.85,Transportation
2024-02-16,Golf Club Membership,"Rs 7,445.85",Healthcare
2024-02-18,Uber Ride,Rs 91.31,Transportation
2024-02-19,More Supermarket,"Rs 1,462.96",Groceries
2024-02-19,Zomato Food Delivery,Rs 754.12,Food & Dining
2024-02-19,Ola Cab,Rs 127.67,Transportation
2024-02-19,Meesho Order,"Rs 1,369.00",Shopping
2024-02-22,5-Star Hotel,"Rs 49,139.55",Travel
2024-02-22,Reliance Fresh,Rs 337.69,Groceries
2024-02-22,Premium Whisky Shop,"Rs 12,632.93",Food & Dining
2024-02-23,Fine Dining Restaurant,"Rs 4,119.29",Food & Dining
2024-02-23,Flipkart Order,"Rs 5,652.42",Shopping
2024-02-23,Swiggy Order,Rs 204.30,Food & Dining
2024-02-25,Golf Club Membership,"Rs 10,818.31",Healthcare
2024-02-25,Chartered Accountant,"Rs 28,146.10",Miscellaneous
2024-02-26,Netflix Subscription,Rs 447.45,Subscriptions
2024-02-26,Zomato Food Delivery,Rs 847.95,Food & Dining
2024-02-26,Spotify Premium,Rs 119.00,Subscriptions
2024-02-27,Premium Whisky Shop,"Rs 11,577.06",Food & Dining
2024-02-27,Myntra Fashion,"Rs 1,736.78",Shopping
2024-02-27,Spotify Premium,Rs 119.00,Subscriptions
2024-02-28,Uber Ride,Rs 347.68,Transportation
2024-03-02,Interior Design Service,"Rs 122,028.79",Housing
2024-03-03,Luxury Watch Service,"Rs 24,663.81",Shopping
2024-03-03,Luxury Watch Service,"Rs 30,379.93",Shopping
2024-03-03,Chartered Accountant,"Rs 26,393.50",Miscellaneous
2024-03-04,BigBasket Groceries,"Rs 3,888.27",Groceries
2024-03-05,BookMyShow Tickets,Rs 200.52,Entertainment
2024-03-05,5-Star Hotel,"Rs 22,897.38",Travel
2024-03-05,Dividend Credit,"Rs 32,472.51",Income
2024-03-07,Ajio Clothing,"Rs 3,263.16",Shopping
2024-03-07,Fine Dining Restaurant,"Rs 8,504.38",Food & Dining
2024-03-08,Rapido Bike Taxi,Rs 77.93,Transportation
2024-03-08,Myntra Fashion,"Rs 1,202.31",Shopping
2024-03-10,Annual Bonus,"Rs 357,603.57",Income
2024-03-10,Flipkart Order,"Rs 4,576.67",Shopping
2024-03-10,5-Star Hotel,"Rs 20,710.04",Travel
2024-03-10,Dividend Credit,"Rs 39,995.81",Income
2024-03-11,Ajio Clothing,"Rs 2,129.68",Shopping
2024-03-11,Golf Club Membership,"Rs 6,418.08",Healthcare
2024-03-12,Myntra Fashion,"Rs 1,918.86",Shopping
2024-03-12,Zomato Food Delivery,Rs 355.99,Food & Dining
2024-03-13,BigBasket Groceries,"Rs 2,194.58",Groceries
2024-03-15,Premium Whisky Shop,"Rs 13,568.73",Food & Dining
2024-03-15,BMW Service Center,"Rs 13,985.83",Transportation
2024-03-15,Parking Premium Mall,Rs 570.69,Transportation
2024-03-17,Reliance Fresh,"Rs 1,130.84",Groceries
2024-03-17,Netflix Subscription,Rs 274.83,Subscriptions
2024-03-18,YouTube Premium,Rs 139.00,Subscriptions
2024-03-19,Fine Dining Restaurant,"Rs 14,320.47",Food & Dining
2024-03-19,Dividend Credit,"Rs 79,072.25",Income
2024-03-19,Myntra Fashion,"Rs 1,519.73",Shopping
2024-03-20,Hotstar Subscription,Rs 273.05,Subscriptions
2024-03-21,Chartered Accountant,"Rs 42,182.78",Miscellaneous
2024-03-22,Dividend Credit,"Rs 57,665.23",Income
2024-03-22,Luxury Watch Service,"Rs 76,842.52",Shopping
2024-03-23,Rental Income,"Rs 73,358.56",Income
2024-03-24,Security System,"Rs 16,997.23",Housing
2024-03-24,Interior Design Service,"Rs 57,080.41",Housing
2024-03-25,More Supermarket,Rs 514.86,Groceries
2024-03-25,Amazon Purchase,"Rs 1,453.00",Shopping
2024-03-26,5-Star Hotel,"Rs 55,274.60",Travel
2024-03-26,Designer Brand Store,"Rs 39,106.97",Shopping
2024-03-26,Spotify Premium,Rs 119.00,Subscriptions
2024-03-26,Hotstar Subscription,Rs 371.21,Subscriptions
2024-03-27,BookMyShow Tickets,"Rs 1,063.88",Entertainment
2024-03-27,Amazon Prime,Rs 386.17,Subscriptions
2024-03-28,Meesho Order,"Rs 1,811.46",Shopping
2024-03-29,Myntra Fashion,"Rs 3,149.65",Shopping
2024-03-30,Fine Dining Restaurant,"Rs 15,191.76",Food & Dining
2024-03-31,Chartered Accountant,"Rs 27,345.04",Miscellaneous
2024-03-31,Swiggy Order,Rs 184.26,Food & Dining
2024-03-31,Ajio Clothing,Rs 895.15,Shopping
2024-04-02,Business Class Flight,"Rs 75,447.34",Travel
2024-04-02,Ajio Clothing,"Rs 1,478.30",Shopping
2024-04-02,Amazon Purchase,"Rs 6,999.13",Shopping
2024-04-02,Hotstar Subscription,Rs 890.82,Subscriptions
2024-04-03,Rental Income,"Rs 64,345.73",Income
2024-04-06,Premium Whisky Shop,"Rs 9,383.95",Food & Dining
2024-04-07,Uber Ride,Rs 471.53,Transportation
2024-04-08,Ajio Clothing,"Rs 2,990.49",Shopping
2024-04-09,Ajio Clothing,Rs 488.14,Shopping
2024-04-10,Investment Advisory Fee,"Rs 16,056.74",Miscellaneous
2024-04-10,Chartered Accountant,"Rs 38,100.72",Miscellaneous
2024-04-10,Spotify Premium,Rs 119.00,Subscriptions
2024-04-10,Rapido Bike Taxi,Rs 198.28,Transportation
2024-04-11,Netflix Subscription,Rs 204.74,Subscriptions
2024-04-11,Zomato Food Delivery,Rs 184.37,Food & Dining
2024-04-11,More Supermarket,Rs 290.99,Groceries
2024-04-11,Netflix Subscription,Rs 607.05,Subscriptions
2024-04-12,Security System,"Rs 21,574.35",Housing
2024-04-12,Amazon Prime,Rs 446.27,Subscriptions
2024-04-13,5-Star Hotel,"Rs 57,688.50",Travel
2024-04-13,Zomato Food Delivery,Rs 621.66,Food & Dining
2024-04-13,BookMyShow Tickets,"Rs 1,190.96",Entertainment
2024-04-14,DMart Purchase,"Rs 2,294.87",Groceries
2024-04-15,Security System,"Rs 12,323.54",Housing
2024-04-15,Reliance Fresh,"Rs 1,011.65",Groceries
2024-04-16,Reliance Fresh,Rs 678.30,Groceries
2024-04-17,Security System,"Rs 20,385.76",Housing
2024-04-17,Luxury Watch Service,"Rs 51,519.52",Shopping
2024-04-18,DMart Purchase,"Rs 2,825.51",Groceries
2024-04-18,Amazon Purchase,"Rs 6,707.62",Shopping
2024-04-18,5-Star Hotel,"Rs 40,407.28",Travel
2024-04-18,Salary CTC Credit,"Rs 293,079.98",Income
2024-04-18,Zomato Food Delivery,Rs 688.74,Food & Dining
2024-04-19,Security System,"Rs 18,113.19",Housing
2024-04-19,Ola Cab,Rs 123.94,Transportation
2024-04-21,Reliance Fresh,Rs 687.87,Groceries
2024-04-21,Security System,"Rs 15,664.14",Housing
2024-04-21,Zomato Food Delivery,Rs 796.83,Food & Dining
2024-04-22,BookMyShow Tickets,Rs 335.37,Entertainment
2024-04-23,Chartered Accountant,"Rs 26,984.72",Miscellaneous
2024-04-23,Annual Bonus,"Rs 291,384.27",Income
2024-04-23,Interest Credit,"Rs 8,029.03",Income
2024-04-24,Luxury Watch Service,"Rs 43,037.83",Shopping
2024-04-25,YouTube Premium,Rs 139.00,Subscriptions
2024-04-27,YouTube Premium,Rs 139.00,Subscriptions
2024-04-27,Business Class Flight,"Rs 103,055.52",Travel
2024-04-27,Meesho Order,"Rs 1,497.65",Shopping
2024-04-28,Rental Income,"Rs 27,805.11",Income
2024-04-28,Myntra Fashion,Rs 644.76,Shopping
2024-05-01,Amazon Purchase,"Rs 6,366.46",Shopping
2024-05-02,Interior Design Service,"Rs 163,592.08",Housing
2024-05-02,Golf Club Membership,"Rs 7,841.44",Healthcare
2024-05-02,BookMyShow Tickets,Rs 832.12,Entertainment
2024-05-04,Premium Gym,"Rs 4,057.74",Healthcare
2024-05-04,Spotify Premium,Rs 119.00,Subscriptions
2024-05-04,Interest Credit,"Rs 8,861.55",Income
2024-05-05,Rental Income,"Rs 30,609.96",Income
2024-05-05,Meesho Order,"Rs 1,667.28",Shopping
2024-05-06,Swiggy Order,Rs 207.38,Food & Dining
2024-05-06,Reliance Fresh,"Rs 1,660.70",Groceries
2024-05-06,Reliance Fresh,"Rs 1,126.82",Groceries
2024-05-06,Annual Bonus,"Rs 486,300.81",Income
2024-05-07,DMart Purchase,Rs 926.71,Groceries
2024-05-09,Chartered Accountant,"Rs 36,597.36",Miscellaneous
2024-05-10,Premium Whisky Shop,"Rs 13,264.96",Food & Dining
2024-05-11,Salary CTC Credit,"Rs 331,961.95",Income
2024-05-11,Hotstar Subscription,Rs 573.97,Subscriptions
2024-05-11,Reliance Fresh,Rs 988.54,Groceries
2024-05-12,Spotify Premium,Rs 119.00,Subscriptions
2024-05-12,5-Star Hotel,"Rs 26,187.97",Travel
2024-05-14,Designer Brand Store,"Rs 48,542.56",Shopping
2024-05-14,Security System,"Rs 18,590.30",Housing
2024-05-15,YouTube Premium,Rs 139.00,Subscriptions
2024-05-16,5-Star Hotel,"Rs 13,588.85",Travel
2024-05-17,Amazon Purchase,"Rs 2,743.60",Shopping
2024-05-18,Premium Whisky Shop,"Rs 9,862.03",Food & Dining
2024-05-19,Zomato Food Delivery,Rs 225.86,Food & Dining
2024-05-19,Fine Dining Restaurant,"Rs 3,393.85",Food & Dining
2024-05-21,Uber Ride,Rs 534.37,Transportation
2024-05-21,Netflix Subscription,Rs 248.08,Subscriptions
2024-05-21,Flipkart Order,Rs 336.84,Shopping
2024-05-24,Amazon Prime,Rs 319.67,Subscriptions
2024-05-24,Parking Premium Mall,Rs 592.65,Transportation
2024-05-25,Stock Options,"Rs 265,639.34",Income
2024-05-25,Interior Design Service,"Rs 183,419.33",Housing
2024-05-26,5-Star Hotel,"Rs 57,115.00",Travel
2024-05-26,Annual Bonus,"Rs 194,348.87",Income
2024-05-27,Myntra Fashion,"Rs 1,936.42",Shopping
2024-05-27,Rental Income,"Rs 76,895.47",Income
2024-05-28,Meesho Order,Rs 501.82,Shopping
2024-05-28,Interior Design Service,"Rs 61,217.04",Housing
2024-05-29,YouTube Premium,Rs 139.00,Subscriptions
2024-05-30,Myntra Fashion,"Rs 3,447.08",Shopping
2024-05-30,Hotstar Subscription,Rs 718.11,Subscriptions
2024-06-02,Chartered Accountant,"Rs 49,680.66",Miscellaneous
2024-06-02,YouTube Premium,Rs 139.00,Subscriptions
2024-06-05,Luxury Watch Service,"Rs 64,278.39",Shopping
2024-06-05,Netflix Subscription,Rs 392.71,Subscriptions
2024-06-05,Premium Whisky Shop,"Rs 4,110.02",Food & Dining
2024-06-06,Designer Brand Store,"Rs 99,941.41",Shopping
2024-06-06,Stock Options,"Rs 55,569.08",Income
2024-06-06,Amazon Purchase,"Rs 1,006.72",Shopping
2024-06-06,Premium Gym,"Rs 4,365.98",Healthcare
2024-06-06,Annual Bonus,"Rs 237,810.37",Income
2024-06-08,5-Star Hotel,"Rs 49,040.18",Travel
2024-06-08,Fine Dining Restaurant,"Rs 12,954.00",Food & Dining
2024-06-08,DMart Purchase,"Rs 1,322.12",Groceries
2024-06-09,Netflix Subscription,Rs 271.33,Subscriptions
2024-06-09,Investment Advisory Fee,"Rs 14,232.70",Miscellaneous
2024-06-11,Investment Advisory Fee,"Rs 17,685.07",Miscellaneous
2024-06-11,Dividend Credit,"Rs 78,766.27",Income
2024-06-11,BookMyShow Tickets,Rs 950.40,Entertainment
2024-06-11,Premium Gym,"Rs 4,812.96",Healthcare
2024-06-11,More Supermarket,"Rs 1,152.38",Groceries
2024-06-12,BMW Service Center,"Rs 45,904.08",Transportation
2024-06-13,Netflix Subscription,Rs 251.39,Subscriptions
2024-06-13,5-Star Hotel,"Rs 45,440.45",Travel
2024-06-14,Amazon Purchase,"Rs 2,282.65",Shopping
2024-06-15,Stock Options,"Rs 176,109.75",Income
2024-06-16,Security System,"Rs 19,323.32",Housing
2024-06-16,Parking Premium Mall,Rs 235.78,Transportation
2024-06-18,Meesho Order,Rs 694.24,Shopping
2024-06-18,Investment Advisory Fee,"Rs 15,090.59",Miscellaneous
2024-06-20,Uber Ride,Rs 327.87,Transportation
2024-06-21,More Supermarket,Rs 438.92,Groceries
2024-06-22,Amazon Purchase,"Rs 3,898.50",Shopping
2024-06-24,Amazon Purchase,"Rs 7,733.75",Shopping
2024-06-25,BigBasket Groceries,"Rs 2,974.62",Groceries
2024-06-25,Swiggy Order,Rs 611.46,Food & Dining
2024-06-25,Ajio Clothing,"Rs 1,647.95",Shopping
2024-06-26,Netflix Subscription,Rs 260.06,Subscriptions
2024-06-26,Ajio Clothing,"Rs 2,158.79",Shopping
2024-06-26,Ola Cab,Rs 405.60,Transportation
2024-06-27,Premium Gym,"Rs 4,603.51",Healthcare
2024-06-28,Security System,"Rs 29,008.69",Housing
2024-06-28,Reliance Fresh,"Rs 1,073.50",Groceries
2024-06-29,Salary CTC Credit,"Rs 292,264.43",Income
2024-06-29,BigBasket Groceries,"Rs 2,827.06",Groceries
2024-06-30,Parking Premium Mall,Rs 333.68,Transportation
2024-06-30,BMW Service Center,"Rs 27,867.00",Transportation
2024-07-01,Netflix Subscription,Rs 167.89,Subscriptions
2024-07-01,Dividend Credit,"Rs 22,788.33",Income
2024-07-02,BigBasket Groceries,"Rs 3,129.34",Groceries
2024-07-03,Rapido Bike Taxi,Rs 66.58,Transportation
2024-07-03,Security System,"Rs 27,815.30",Housing
2024-07-03,Chartered Accountant,"Rs 34,308.30",Miscellaneous
2024-07-04,Rapido Bike Taxi,Rs 189.68,Transportation
2024-07-05,More Supermarket,Rs 720.64,Groceries
2024-07-08,Chartered Accountant,"Rs 46,706.48",Miscellaneous
2024-07-08,More Supermarket,"Rs 1,555.36",Groceries
2024-07-10,Stock Options,"Rs 144,118.40",Income
2024-07-10,BigBasket Groceries,"Rs 2,410.34",Groceries
2024-07-10,BookMyShow Tickets,Rs 753.65,Entertainment
2024-07-11,BMW Service Center,"Rs 26,076.13",Transportation
2024-07-12,Interest Credit,"Rs 26,350.54",Income
2024-07-12,BookMyShow Tickets,"Rs 1,230.43",Entertainment
2024-07-16,Investment Advisory Fee,"Rs 16,810.41",Miscellaneous
2024-07-16,Designer Brand Store,"Rs 34,272.35",Shopping
2024-07-17,Spotify Premium,Rs 119.00,Subscriptions
2024-07-17,Premium Whisky Shop,"Rs 13,099.48",Food & Dining
2024-07-18,Swiggy Order,Rs 761.40,Food & Dining
2024-07-18,Salary CTC Credit,"Rs 420,512.74",Income
2024-07-19,More Supermarket,"Rs 1,536.27",Groceries
2024-07-20,Parking Premium Mall,Rs 733.44,Transportation
2024-07-21,Swiggy Order,Rs 391.90,Food & Dining
2024-07-21,Netflix Subscription,Rs 459.43,Subscriptions
2024-07-22,BookMyShow Tickets,Rs 925.89,Entertainment
2024-07-22,Designer Brand Store,"Rs 29,797.40",Shopping
2024-07-24,Chartered Accountant,"Rs 35,679.04",Miscellaneous
2024-07-25,Rental Income,"Rs 23,807.55",Income
2024-07-25,Interior Design Service,"Rs 58,607.20",Housing
2024-07-28,Netflix Subscription,Rs 285.14,Subscriptions
2024-07-29,Interior Design Service,"Rs 167,978.81",Housing
2024-07-30,Reliance Fresh,"Rs 1,656.70",Groceries
2024-07-31,Rental Income,"Rs 65,793.51",Income
2024-08-02,Uber Ride,Rs 580.03,Transportation
2024-08-02,Investment Advisory Fee,"Rs 14,505.82",Miscellaneous
2024-08-02,Chartered Accountant,"Rs 21,320.57",Miscellaneous
2024-08-02,Spotify Premium,Rs 119.00,Subscriptions
2024-08-03,Chartered Accountant,"Rs 31,327.07",Miscellaneous
2024-08-06,Annual Bonus,"Rs 437,792.03",Income
2024-08-07,Meesho Order,Rs 219.52,Shopping
2024-08-07,Designer Brand Store,"Rs 51,191.02",Shopping
2024-08-07,Luxury Watch Service,"Rs 30,633.24",Shopping
2024-08-07,YouTube Premium,Rs 139.00,Subscriptions
2024-08-07,Business Class Flight,"Rs 51,969.65",Travel
2024-08-08,Meesho Order,Rs 680.66,Shopping
2024-08-08,Rental Income,"Rs 53,897.48",Income
2024-08-08,Swiggy Order,Rs 844.13,Food & Dining
2024-08-09,Rental Income,"Rs 34,116.93",Income
2024-08-10,Golf Club Membership,"Rs 17,834.22",Healthcare
2024-08-10,Salary CTC Credit,"Rs 564,801.02",Income
2024-08-10,BigBasket Groceries,"Rs 3,085.33",Groceries
2024-08-11,Security System,"Rs 24,249.41",Housing
2024-08-11,BMW Service Center,"Rs 47,467.03",Transportation
2024-08-12,Annual Bonus,"Rs 294,755.54",Income
2024-08-13,Spotify Premium,Rs 119.00,Subscriptions
2024-08-13,Myntra Fashion,"Rs 3,889.67",Shopping
2024-08-14,Ajio Clothing,"Rs 2,414.39",Shopping
2024-08-15,Golf Club Membership,"Rs 18,850.09",Healthcare
2024-08-15,Investment Advisory Fee,"Rs 9,940.77",Miscellaneous
2024-08-15,Premium Whisky Shop,"Rs 10,848.22",Food & Dining
2024-08-16,Amazon Prime,Rs 249.52,Subscriptions
2024-08-17,Salary CTC Credit,"Rs 553,173.46",Income
2024-08-18,DMart Purchase,"Rs 2,849.22",Groceries
2024-08-19,Zomato Food Delivery,Rs 457.56,Food & Dining
2024-08-19,Rapido Bike Taxi,Rs 146.53,Transportation
2024-08-19,Swiggy Order,Rs 220.05,Food & Dining
2024-08-20,Ola Cab,Rs 438.74,Transportation
2024-08-21,Fine Dining Restaurant,"Rs 11,572.02",Food & Dining
2024-08-21,Ola Cab,Rs 409.37,Transportation
2024-08-21,Designer Brand Store,"Rs 14,646.89",Shopping
2024-08-22,Stock Options,"Rs 237,723.05",Income
2024-08-22,Swiggy Order,Rs 656.21,Food & Dining
2024-08-22,Business Profit Transfer,"Rs 206,482.16",Income
2024-08-22,Chartered Accountant,"Rs 37,414.67",Miscellaneous
2024-08-23,Meesho Order,Rs 820.67,Shopping
2024-08-24,Investment Advisory Fee,"Rs 10,183.06",Miscellaneous
2024-08-24,Rapido Bike Taxi,Rs 84.06,Transportation
2024-08-25,Business Profit Transfer,"Rs 53,670.66",Income
2024-08-25,Premium Whisky Shop,"Rs 9,205.52",Food & Dining
2024-08-25,Chartered Accountant,"Rs 38,599.17",Miscellaneous
2024-08-27,BMW Service Center,"Rs 40,654.74",Transportation
2024-08-28,Amazon Purchase,Rs 380.42,Shopping
2024-08-29,Designer Brand Store,"Rs 61,065.45",Shopping
2024-08-29,Swiggy Order,Rs 453.94,Food & Dining
2024-08-31,Parking Premium Mall,Rs 282.08,Transportation
2024-09-01,Spotify Premium,Rs 119.00,Subscriptions
2024-09-01,BMW Service Center,"Rs 23,374.44",Transportation
2024-09-02,Interior Design Service,"Rs 195,103.51",Housing
