Transaction Date,Description,Net Amount,Type,Spending Category
05-05-2024,Hotstar Subscription,419.98,Expense,Subscriptions
05-06-2024,1mg Medicine Order,1091.94,Expense,Healthcare
05-07-2024,Apollo Pharmacy,1292.45,Expense,Healthcare
05-07-2024,Amazon Prime,828.01,Expense,Subscriptions
05-08-2024,Hotstar Subscription,384.22,Expense,Subscriptions
05-08-2024,ATM Withdrawal,3902.27,Expense,Miscellaneous
05-09-2024,Dividend Credit,12103.26,Income,Income
05-09-2024,Zomato Food Delivery,374.57,Expense,Food & Dining
05-10-2024,Rapido Bike Taxi,146.0,Expense,Transportation
05-10-2024,Netflix Subscription,192.16,Expense,Subscriptions
05-11-2024,1mg Medicine Order,615.1,Expense,Healthcare
05-11-2024,Water Bill,771.05,Expense,Utilities
05-11-2024,More Supermarket,922.58,Expense,Groceries
05-13-2024,Parking Charges,158.87,Expense,Transportation
05-13-2024,Hotstar Subscription,208.27,Expense,Subscriptions
05-13-2024,Netflix Subscription,198.87,Expense,Subscriptions
05-14-2024,School Fees,8450.17,Expense,Education
05-14-2024,Uber Ride,281.57,Expense,Transportation
05-14-2024,Book Purchase,950.46,Expense,Education
05-14-2024,Uber Ride,313.68,Expense,Transportation
05-15-2024,Hotstar Subscription,418.79,Expense,Subscriptions
05-15-2024,Hair Salon,1378.92,Expense,Personal Care
05-16-2024,Ajio Clothing,919.42,Expense,Shopping
05-17-2024,Insurance Premium,6160.3,Expense,Insurance
05-18-2024,Maintenance Charges,2051.69,Expense,Housing
05-19-2024,Gaming Recharge,1076.18,Expense,Entertainment
05-20-2024,Gaming Recharge,1338.77,Expense,Entertainment
05-20-2024,1mg Medicine Order,827.13,Expense,Healthcare
05-23-2024,More Supermarket,756.31,Expense,Groceries
05-23-2024,Dividend Credit,4926.67,Income,Income
05-23-2024,Metro Card Recharge,747.97,Expense,Transportation
05-24-2024,Apollo Pharmacy,1070.15,Expense,Healthcare
05-24-2024,Netflix Subscription,444.42,Expense,Subscriptions
05-24-2024,Rental Income,14787.32,Income,Income
05-24-2024,Hotstar Subscription,619.37,Expense,Subscriptions
05-24-2024,Spotify Premium,119.0,Expense,Subscriptions
05-25-2024,Bonus Credit,35605.88,Income,Income
05-26-2024,Reliance Fresh,1613.33,Expense,Groceries
05-26-2024,Spa Treatment,643.48,Expense,Personal Care
05-26-2024,Online Course,3680.0,Expense,Education
05-27-2024,Petrol / Diesel,2450.28,Expense,Transportation
05-27-2024,Book Purchase,935.37,Expense,Education
05-27-2024,BigBasket Groceries,1544.43,Expense,Groceries
05-27-2024,Water Bill,486.09,Expense,Utilities
05-28-2024,House Rent,8525.81,Expense,Housing
05-28-2024,Zomato Food Delivery,791.52,Expense,Food & Dining
05-30-2024,BookMyShow Tickets,1302.88,Expense,Entertainment
05-30-2024,DMart Purchase,1821.16,Expense,Groceries
05-30-2024,Online Course,3481.26,Expense,Education
05-31-2024,Interest Credit,1615.01,Income,Income
05-31-2024,Coffee Shop,412.15,Expense,Food & Dining
06-01-2024,Jio Recharge,371.69,Expense,Utilities
06-03-2024,Insurance Premium,4371.51,Expense,Insurance
06-03-2024,Electricity Bill,4372.66,Expense,Utilities
06-05-2024,DMart Purchase,1457.73,Expense,Groceries
06-06-2024,Travel Booking,6869.81,Expense,Travel
06-07-2024,BigBasket Groceries,2081.77,Expense,Groceries
06-07-2024,Maintenance Charges,1757.58,Expense,Housing
06-08-2024,Newspaper Subscription,104.05,Expense,Subscriptions
06-09-2024,Interest Credit,1224.81,Income,Income
06-09-2024,Coffee Shop,135.94,Expense,Food & Dining
06-09-2024,Water Bill,270.93,Expense,Utilities
06-10-2024,House Rent,19251.22,Expense,Housing
06-10-2024,PVR Cinemas,267.6,Expense,Entertainment
06-11-2024,Ola Cab,344.78,Expense,Transportation
06-13-2024,Parking Charges,233.94,Expense,Transportation
06-13-2024,Interest Credit,1155.34,Income,Income
06-13-2024,Transfer Received,24875.91,Income,Income
06-13-2024,Restaurant Dinner,969.32,Expense,Food & Dining
06-15-2024,Rapido Bike Taxi,178.27,Expense,Transportation
06-15-2024,Parking Charges,207.98,Expense,Transportation
06-15-2024,PVR Cinemas,774.02,Expense,Entertainment
06-17-2024,Parking Charges,73.43,Expense,Transportation
06-17-2024,BookMyShow Tickets,244.1,Expense,Entertainment
06-17-2024,Uber Ride,416.56,Expense,Transportation
06-17-2024,Ajio Clothing,819.66,Expense,Shopping
06-17-2024,Amazon Purchase,7225.63,Expense,Shopping
06-18-2024,Parking Charges,143.99,Expense,Transportation
06-18-2024,Gym Membership,1334.75,Expense,Healthcare
06-19-2024,BigBasket Groceries,2716.26,Expense,Groceries
06-19-2024,Ola Cab,453.97,Expense,Transportation
06-19-2024,Parking Charges,132.73,Expense,Transportation
06-20-2024,BigBasket Groceries,3344.81,Expense,Groceries
06-20-2024,House Rent,16495.98,Expense,Housing
06-20-2024,Jio Recharge,227.89,Expense,Utilities
06-22-2024,Maintenance Charges,852.5,Expense,Housing
06-23-2024,UPI Received,16488.63,Income,Income
06-23-2024,YouTube Premium,139.0,Expense,Subscriptions
06-24-2024,BookMyShow Tickets,1018.86,Expense,Entertainment
06-24-2024,Swiggy Order,247.58,Expense,Food & Dining
06-26-2024,Myntra Fashion,670.59,Expense,Shopping
06-26-2024,Rapido Bike Taxi,176.76,Expense,Transportation
06-28-2024,Ola Cab,190.1,Expense,Transportation
06-29-2024,Insurance Premium,8665.44,Expense,Insurance
06-30-2024,PVR Cinemas,445.82,Expense,Entertainment
07-01-2024,Uber Ride,575.84,Expense,Transportation
07-01-2024,Insurance Premium,9827.33,Expense,Insurance
07-01-2024,Reliance Fresh,295.03,Expense,Groceries
07-02-2024,Online Course,3792.2,Expense,Education
07-02-2024,BigBasket Groceries,2628.95,Expense,Groceries
07-02-2024,Reliance Fresh,1422.8,Expense,Groceries
07-03-2024,Freelance Payment,19126.48,Income,Income
07-03-2024,Spa Treatment,2174.71,Expense,Personal Care
07-04-2024,Water Bill,534.46,Expense,Utilities
07-04-2024,Spa Treatment,1461.68,Expense,Personal Care
07-04-2024,Hotel Stay,7458.38,Expense,Travel
07-05-2024,YouTube Premium,139.0,Expense,Subscriptions
07-05-2024,Ajio Clothing,2421.82,Expense,Shopping
07-05-2024,Spotify Premium,119.0,Expense,Subscriptions
07-06-2024,PVR Cinemas,750.84,Expense,Entertainment
07-07-2024,Meesho Order,1906.05,Expense,Shopping
07-07-2024,Ola Cab,79.9,Expense,Transportation
07-07-2024,Jio Recharge,551.65,Expense,Utilities
07-08-2024,Apollo Pharmacy,1636.37,Expense,Healthcare
07-09-2024,DMart Purchase,2405.61,Expense,Groceries
07-09-2024,Ola Cab,112.32,Expense,Transportation
07-10-2024,Spotify Premium,119.0,Expense,Subscriptions
07-11-2024,Zomato Food Delivery,583.35,Expense,Food & Dining
07-13-2024,School Fees,8086.47,Expense,Education
07-13-2024,Book Purchase,490.92,Expense,Education
07-13-2024,Bonus Credit,44566.24,Income,Income
07-13-2024,Interest Credit,1335.12,Income,Income
07-14-2024,Parking Charges,293.96,Expense,Transportation
07-14-2024,Transfer Received,21920.99,Income,Income
07-14-2024,Ajio Clothing,1552.6,Expense,Shopping
07-15-2024,Restaurant Dinner,1121.6,Expense,Food & Dining
07-15-2024,Bonus Credit,27315.34,Income,Income
07-16-2024,Ajio Clothing,442.7,Expense,Shopping
07-16-2024,Travel Booking,19693.66,Expense,Travel
07-16-2024,Coffee Shop,150.67,Expense,Food & Dining
07-17-2024,Rental Income,6117.37,Income,Income
07-17-2024,Gym Membership,1176.91,Expense,Healthcare
07-17-2024,Zomato Food Delivery,743.94,Expense,Food & Dining
07-17-2024,Gym Membership,1103.8,Expense,Healthcare
07-17-2024,Maintenance Charges,2833.63,Expense,Housing
07-18-2024,Coffee Shop,108.13,Expense,Food & Dining
07-19-2024,Insurance Premium,4483.44,Expense,Insurance
07-19-2024,Netflix Subscription,262.94,Expense,Subscriptions
07-20-2024,Uber Ride,438.15,Expense,Transportation
07-21-2024,Flipkart Order,4999.6,Expense,Shopping
07-21-2024,Rental Income,14012.64,Income,Income
07-21-2024,Flipkart Order,784.75,Expense,Shopping
07-21-2024,Travel Booking,18514.64,Expense,Travel
07-21-2024,Spotify Premium,119.0,Expense,Subscriptions
07-23-2024,Online Course,2149.93,Expense,Education
07-23-2024,Coffee Shop,299.39,Expense,Food & Dining
07-23-2024,Rapido Bike Taxi,187.22,Expense,Transportation
07-23-2024,Amazon Purchase,7004.91,Expense,Shopping
07-23-2024,Amazon Purchase,1627.68,Expense,Shopping
07-24-2024,BigBasket Groceries,2828.15,Expense,Groceries
07-25-2024,Petrol / Diesel,1568.89,Expense,Transportation
07-25-2024,Ajio Clothing,2221.81,Expense,Shopping
07-25-2024,1mg Medicine Order,315.94,Expense,Healthcare
07-25-2024,Reliance Fresh,228.51,Expense,Groceries
07-25-2024,Dividend Credit,13813.6,Income,Income
07-26-2024,Water Bill,337.9,Expense,Utilities
07-27-2024,Transfer Received,11768.42,Income,Income
07-27-2024,Cashback Credit,965.16,Income,Income
07-27-2024,Restaurant Dinner,2394.97,Expense,Food & Dining
07-28-2024,Cashback Credit,359.58,Income,Income
07-28-2024,Doctor Consultation,1000.53,Expense,Healthcare
07-28-2024,Meesho Order,1902.08,Expense,Shopping
07-28-2024,Parking Charges,244.31,Expense,Transportation
07-29-2024,House Rent,17561.74,Expense,Housing
07-29-2024,DMart Purchase,2557.36,Expense,Groceries
07-30-2024,Coffee Shop,138.08,Expense,Food & Dining
07-31-2024,UPI Received,13715.88,Income,Income
07-31-2024,Refund Credit,1030.98,Income,Income
08-01-2024,Apollo Pharmacy,949.24,Expense,Healthcare
08-02-2024,Meesho Order,738.5,Expense,Shopping
08-02-2024,Coffee Shop,248.52,Expense,Food & Dining
08-03-2024,Uber Ride,290.39,Expense,Transportation
08-04-2024,Uber Ride,395.87,Expense,Transportation
08-04-2024,Gaming Recharge,1373.15,Expense,Entertainment
08-04-2024,Meesho Order,445.79,Expense,Shopping
08-04-2024,School Fees,14521.75,Expense,Education
08-04-2024,Freelance Payment,12136.1,Income,Income
08-05-2024,More Supermarket,1065.25,Expense,Groceries
08-05-2024,Apollo Pharmacy,593.08,Expense,Healthcare
08-06-2024,Travel Booking,5942.53,Expense,Travel
08-08-2024,Spa Treatment,1728.8,Expense,Personal Care
08-08-2024,Hotel Stay,6697.82,Expense,Travel
08-10-2024,Airtel Mobile Bill,545.61,Expense,Utilities
08-10-2024,Salary Credit,100620.12,Income,Income
08-10-2024,Petrol / Diesel,2914.38,Expense,Transportation
08-11-2024,House Rent,13830.24,Expense,Housing
08-11-2024,Reliance Fresh,1080.55,Expense,Groceries
08-12-2024,Freelance Payment,14722.34,Income,Income
08-12-2024,Coffee Shop,191.27,Expense,Food & Dining
08-12-2024,Dividend Credit,1662.06,Income,Income
08-13-2024,Dividend Credit,2331.25,Income,Income
08-13-2024,ATM Withdrawal,3448.21,Expense,Miscellaneous
08-13-2024,Gym Membership,615.35,Expense,Healthcare
08-14-2024,Spotify Premium,119.0,Expense,Subscriptions
08-14-2024,Myntra Fashion,2125.8,Expense,Shopping
08-15-2024,Parking Charges,52.71,Expense,Transportation
08-15-2024,Water Bill,338.12,Expense,Utilities
08-15-2024,Rental Income,20242.87,Income,Income
08-16-2024,Hotstar Subscription,784.02,Expense,Subscriptions
08-18-2024,BigBasket Groceries,2838.72,Expense,Groceries
08-18-2024,Myntra Fashion,974.2,Expense,Shopping
08-18-2024,Refund Credit,690.95,Income,Income
08-19-2024,DMart Purchase,3473.56,Expense,Groceries
08-19-2024,Travel Booking,17351.11,Expense,Travel
08-19-2024,UPI Received,962.8,Income,Income
08-20-2024,Cashback Credit,654.42,Income,Income
08-20-2024,Hotel Stay,8991.09,Expense,Travel
08-21-2024,Interest Credit,2273.23,Income,Income
08-22-2024,Insurance Premium,6527.36,Expense,Insurance
08-22-2024,Bonus Credit,16168.44,Income,Income
08-22-2024,Meesho Order,1694.61,Expense,Shopping
08-22-2024,Transfer Received,5519.46,Income,Income
08-22-2024,YouTube Premium,139.0,Expense,Subscriptions
08-23-2024,Refund Credit,3597.28,Income,Income
08-24-2024,DMart Purchase,2737.78,Expense,Groceries
08-25-2024,Ajio Clothing,3188.74,Expense,Shopping
08-25-2024,ATM Withdrawal,2931.71,Expense,Miscellaneous
08-25-2024,Gym Membership,2460.19,Expense,Healthcare
08-26-2024,House Rent,9328.37,Expense,Housing
08-26-2024,More Supermarket,254.25,Expense,Groceries
08-26-2024,Spa Treatment,1539.42,Expense,Personal Care
08-27-2024,Metro Card Recharge,405.03,Expense,Transportation
08-27-2024,Cashback Credit,151.64,Income,Income
08-28-2024,Petrol / Diesel,1274.5,Expense,Transportation
08-28-2024,Cashback Credit,871.39,Income,Income
08-29-2024,Swiggy Order,847.23,Expense,Food & Dining
08-29-2024,Rapido Bike Taxi,65.65,Expense,Transportation
08-29-2024,Freelance Payment,21760.61,Income,Income
08-30-2024,Ajio Clothing,2225.49,Expense,Shopping
08-30-2024,BigBasket Groceries,1795.89,Expense,Groceries
08-31-2024,Hotstar Subscription,525.75,Expense,Subscriptions
08-31-2024,Amazon Prime,577.87,Expense,Subscriptions
09-01-2024,Flipkart Order,1194.04,Expense,Shopping
09-02-2024,Maintenance Charges,1476.49,Expense,Housing
09-02-2024,Doctor Consultation,384.07,Expense,Healthcare
09-03-2024,Petrol / Diesel,916.99,Expense,Transportation
09-03-2024,More Supermarket,1046.48,Expense,Groceries
09-04-2024,Uber Ride,401.77,Expense,Transportation
09-05-2024,Salary Credit,109733.34,Income,Income
09-07-2024,Swiggy Order,213.34,Expense,Food & Dining
09-07-2024,Airtel Mobile Bill,792.21,Expense,Utilities
09-08-2024,Hair Salon,339.89,Expense,Personal Care
09-08-2024,Jio Recharge,498.4,Expense,Utilities
09-08-2024,1mg Medicine Order,823.08,Expense,Healthcare
09-08-2024,Electricity Bill,2400.14,Expense,Utilities
09-08-2024,Hotel Stay,5535.32,Expense,Travel
09-09-2024,Insurance Premium,4240.94,Expense,Insurance
09-09-2024,Gym Membership,1872.69,Expense,Healthcare
09-09-2024,Spa Treatment,532.16,Expense,Personal Care
09-09-2024,Online Course,4879.2,Expense,Education
09-09-2024,PVR Cinemas,789.17,Expense,Entertainment
09-09-2024,Apollo Pharmacy,734.33,Expense,Healthcare
09-10-2024,BigBasket Groceries,1148.34,Expense,Groceries
09-11-2024,1mg Medicine Order,486.39,Expense,Healthcare
09-11-2024,Ajio Clothing,449.56,Expense,Shopping
09-11-2024,Hotstar Subscription,356.13,Expense,Subscriptions
09-12-2024,Book Purchase,445.47,Expense,Education
09-14-2024,BookMyShow Tickets,894.85,Expense,Entertainment
09-15-2024,Hair Salon,318.37,Expense,Personal Care
09-15-2024,Bonus Credit,7311.87,Income,Income
09-16-2024,Insurance Premium,1642.43,Expense,Insurance
09-16-2024,Uber Ride,146.47,Expense,Transportation
09-16-2024,Uber Ride,442.24,Expense,Transportation
09-17-2024,Restaurant Dinner,1618.74,Expense,Food & Dining
09-17-2024,Hotel Stay,2855.12,Expense,Travel
09-17-2024,Cashback Credit,531.82,Income,Income
09-17-2024,Flipkart Order,3594.56,Expense,Shopping
09-17-2024,Myntra Fashion,2869.67,Expense,Shopping
09-17-2024,Petrol / Diesel,3643.42,Expense,Transportation
09-18-2024,Book Purchase,1052.08,Expense,Education
09-18-2024,Water Bill,499.72,Expense,Utilities
09-18-2024,Online Course,3949.38,Expense,Education
09-19-2024,Rental Income,9588.02,Income,Income
09-19-2024,Zomato Food Delivery,827.13,Expense,Food & Dining
09-20-2024,Jio Recharge,519.96,Expense,Utilities
09-20-2024,Jio Recharge,248.4,Expense,Utilities
09-20-2024,Reliance Fresh,1914.47,Expense,Groceries
09-21-2024,1mg Medicine Order,547.39,Expense,Healthcare
09-21-2024,UPI Received,6865.14,Income,Income
09-21-2024,Hotstar Subscription,655.3,Expense,Subscriptions
09-21-2024,Metro Card Recharge,959.72,Expense,Transportation
09-21-2024,Insurance Premium,9185.76,Expense,Insurance
09-22-2024,Rapido Bike Taxi,80.04,Expense,Transportation
09-23-2024,School Fees,14429.28,Expense,Education
09-23-2024,Uber Ride,384.18,Expense,Transportation
09-23-2024,Travel Booking,5707.0,Expense,Travel
09-23-2024,Cashback Credit,591.53,Income,Income
09-23-2024,PVR Cinemas,748.08,Expense,Entertainment
09-23-2024,More Supermarket,396.3,Expense,Groceries
09-24-2024,Bonus Credit,49123.41,Income,Income
09-25-2024,Gym Membership,1266.31,Expense,Healthcare
09-25-2024,PVR Cinemas,357.78,Expense,Entertainment
09-25-2024,Apollo Pharmacy,1888.33,Expense,Healthcare
09-26-2024,DMart Purchase,677.9,Expense,Groceries
09-26-2024,Gaming Recharge,425.15,Expense,Entertainment
09-26-2024,UPI Received,10344.17,Income,Income
09-29-2024,Water Bill,328.06,Expense,Utilities
09-29-2024,Ajio Clothing,2670.01,Expense,Shopping
09-30-2024,Ola Cab,380.12,Expense,Transportation
10-01-2024,Netflix Subscription,401.32,Expense,Subscriptions
10-01-2024,Rental Income,7570.16,Income,Income
10-01-2024,Book Purchase,757.01,Expense,Education
10-02-2024,Hotstar Subscription,734.92,Expense,Subscriptions
10-02-2024,ATM Withdrawal,1676.96,Expense,Miscellaneous
10-02-2024,Jio Recharge,536.55,Expense,Utilities
10-03-2024,Gym Membership,1276.72,Expense,Healthcare
10-03-2024,Amazon Prime,518.65,Expense,Subscriptions
10-03-2024,Transfer Received,29413.84,Income,Income
10-03-2024,Netflix Subscription,490.61,Expense,Subscriptions
10-04-2024,Petrol / Diesel,1264.45,Expense,Transportation
10-04-2024,Zomato Food Delivery,312.71,Expense,Food & Dining
10-04-2024,House Rent,22445.7,Expense,Housing
10-04-2024,Online Course,1007.89,Expense,Education
10-05-2024,Apollo Pharmacy,1117.99,Expense,Healthcare
10-05-2024,Dividend Credit,4824.47,Income,Income
10-06-2024,Flipkart Order,1176.4,Expense,Shopping
10-07-2024,More Supermarket,151.52,Expense,Groceries
10-07-2024,Amazon Purchase,6141.42,Expense,Shopping
10-08-2024,Zomato Food Delivery,369.81,Expense,Food & Dining
10-09-2024,YouTube Premium,139.0,Expense,Subscriptions
10-10-2024,YouTube Premium,139.0,Expense,Subscriptions
10-10-2024,Travel Booking,8063.23,Expense,Travel
10-10-2024,Transfer Received,30107.34,Income,Income
10-11-2024,1mg Medicine Order,1080.03,Expense,Healthcare
10-12-2024,Hotstar Subscription,230.82,Expense,Subscriptions
10-12-2024,Uber Ride,286.9,Expense,Transportation
10-12-2024,Hotstar Subscription,232.1,Expense,Subscriptions
10-13-2024,Freelance Payment,26940.94,Income,Income
10-13-2024,Gym Membership,1131.99,Expense,Healthcare
10-14-2024,Gym Membership,1699.16,Expense,Healthcare
10-15-2024,Meesho Order,1162.89,Expense,Shopping
10-15-2024,Ajio Clothing,885.3,Expense,Shopping
10-15-2024,PVR Cinemas,755.58,Expense,Entertainment
10-16-2024,House Rent,27801.13,Expense,Housing
10-16-2024,Spa Treatment,754.88,Expense,Personal Care
10-17-2024,Hotel Stay,6262.91,Expense,Travel
10-18-2024,Salary Credit,79595.72,Income,Income
10-18-2024,Petrol / Diesel,1794.84,Expense,Transportation
10-19-2024,Apollo Pharmacy,879.3,Expense,Healthcare
10-19-2024,Electricity Bill,2304.58,Expense,Utilities
10-19-2024,Electricity Bill,3405.51,Expense,Utilities
10-20-2024,Spa Treatment,2922.26,Expense,Personal Care
10-20-2024,Ajio Clothing,665.11,Expense,Shopping
10-20-2024,More Supermarket,586.5,Expense,Groceries
10-20-2024,YouTube Premium,139.0,Expense,Subscriptions
10-21-2024,Doctor Consultation,1051.28,Expense,Healthcare
10-21-2024,Hotstar Subscription,687.65,Expense,Subscriptions
10-21-2024,Petrol / Diesel,1570.94,Expense,Transportation
10-22-2024,Insurance Premium,5229.33,Expense,Insurance
10-23-2024,Transfer Received,24362.54,Income,Income
10-23-2024,BigBasket Groceries,355.47,Expense,Groceries
10-23-2024,Hotstar Subscription,418.86,Expense,Subscriptions
10-23-2024,Refund Credit,1026.16,Income,Income
10-23-2024,Online Course,2218.67,Expense,Education
10-24-2024,1mg Medicine Order,559.97,Expense,Healthcare
10-25-2024,Jio Recharge,406.18,Expense,Utilities
10-27-2024,Insurance Premium,7381.74,Expense,Insurance
10-28-2024,DMart Purchase,274.81,Expense,Groceries
10-29-2024,Amazon Prime,836.13,Expense,Subscriptions
10-29-2024,Zomato Food Delivery,179.59,Expense,Food & Dining
10-30-2024,BookMyShow Tickets,1123.88,Expense,Entertainment
10-30-2024,Ajio Clothing,618.66,Expense,Shopping
10-31-2024,Amazon Prime,695.33,Expense,Subscriptions
10-31-2024,Salary Credit,78478.47,Income,Income
10-31-2024,Insurance Premium,9878.74,Expense,Insurance
11-01-2024,Online Course,2428.01,Expense,Education
11-02-2024,Transfer Received,17918.39,Income,Income
11-02-2024,Doctor Consultation,1146.53,Expense,Healthcare
11-02-2024,Spa Treatment,1659.87,Expense,Personal Care
11-02-2024,Gym Membership,2149.28,Expense,Healthcare
11-02-2024,Swiggy Order,269.73,Expense,Food & Dining
11-02-2024,Travel Booking,2599.0,Expense,Travel
11-03-2024,Apollo Pharmacy,1488.26,Expense,Healthcare
11-03-2024,Netflix Subscription,520.37,Expense,Subscriptions
11-03-2024,Doctor Consultation,652.57,Expense,Healthcare
11-04-2024,Petrol / Diesel,3451.33,Expense,Transportation
11-05-2024,Dividend Credit,6628.9,Income,Income
11-05-2024,Cashback Credit,506.08,Income,Income
11-06-2024,Interest Credit,2003.63,Income,Income
11-07-2024,Hotel Stay,5243.28,Expense,Travel
11-07-2024,Gaming Recharge,1842.19,Expense,Entertainment
11-07-2024,Coffee Shop,200.63,Expense,Food & Dining
11-08-2024,Travel Booking,19139.49,Expense,Travel
11-08-2024,Hair Salon,391.32,Expense,Personal Care
11-08-2024,Online Course,1523.57,Expense,Education
11-09-2024,Hotel Stay,8079.74,Expense,Travel
11-10-2024,Netflix Subscription,527.42,Expense,Subscriptions
11-10-2024,BigBasket Groceries,1536.94,Expense,Groceries
11-10-2024,House Rent,20555.8,Expense,Housing
11-11-2024,Doctor Consultation,1333.77,Expense,Healthcare
11-11-2024,Travel Booking,7138.82,Expense,Travel
11-11-2024,Reliance Fresh,976.6,Expense,Groceries
11-12-2024,Ola Cab,151.57,Expense,Transportation
11-12-2024,Swiggy Order,465.67,Expense,Food & Dining
11-13-2024,Insurance Premium,5196.16,Expense,Insurance
11-13-2024,Jio Recharge,568.86,Expense,Utilities
11-13-2024,BigBasket Groceries,888.67,Expense,Groceries
11-13-2024,Amazon Purchase,7497.22,Expense,Shopping
11-14-2024,Airtel Mobile Bill,494.27,Expense,Utilities
11-14-2024,Water Bill,680.18,Expense,Utilities
11-14-2024,Uber Ride,402.63,Expense,Transportation
11-16-2024,Online Course,2577.89,Expense,Education
11-16-2024,Maintenance Charges,1892.19,Expense,Housing
11-17-2024,Freelance Payment,22441.81,Income,Income
11-18-2024,Electricity Bill,4482.55,Expense,Utilities
11-18-2024,Meesho Order,836.43,Expense,Shopping
11-19-2024,Parking Charges,59.02,Expense,Transportation
11-19-2024,YouTube Premium,139.0,Expense,Subscriptions
11-20-2024,Bonus Credit,19133.46,Income,Income
11-20-2024,1mg Medicine Order,1265.82,Expense,Healthcare
11-21-2024,More Supermarket,1020.4,Expense,Groceries
11-22-2024,BookMyShow Tickets,710.59,Expense,Entertainment
11-23-2024,Uber Ride,378.54,Expense,Transportation
11-24-2024,Water Bill,451.52,Expense,Utilities
11-25-2024,Online Course,2960.99,Expense,Education
11-25-2024,Insurance Premium,5569.26,Expense,Insurance
11-25-2024,Doctor Consultation,962.43,Expense,Healthcare
11-25-2024,Doctor Consultation,1509.26,Expense,Healthcare
11-25-2024,Ola Cab,456.4,Expense,Transportation
11-25-2024,Insurance Premium,2114.33,Expense,Insurance
11-26-2024,ATM Withdrawal,4137.36,Expense,Miscellaneous
11-28-2024,Reliance Fresh,653.82,Expense,Groceries
11-30-2024,Cashback Credit,621.15,Income,Income
11-30-2024,Petrol / Diesel,1965.17,Expense,Transportation
11-30-2024,BookMyShow Tickets,792.68,Expense,Entertainment
12-01-2024,Amazon Purchase,595.8,Expense,Shopping
12-01-2024,Online Course,4392.54,Expense,Education
12-02-2024,Doctor Consultation,555.68,Expense,Healthcare
12-03-2024,Salary Credit,72811.55,Income,Income
12-04-2024,Airtel Mobile Bill,358.97,Expense,Utilities
12-05-2024,Jio Recharge,454.59,Expense,Utilities
12-05-2024,Ajio Clothing,596.19,Expense,Shopping
12-06-2024,Doctor Consultation,1590.51,Expense,Healthcare
12-07-2024,1mg Medicine Order,846.16,Expense,Healthcare
12-07-2024,Travel Booking,5693.39,Expense,Travel
12-07-2024,Insurance Premium,7468.9,Expense,Insurance
12-08-2024,Amazon Prime,655.38,Expense,Subscriptions
12-08-2024,Cashback Credit,634.74,Income,Income
12-09-2024,Apollo Pharmacy,560.78,Expense,Healthcare
12-10-2024,Book Purchase,1407.49,Expense,Education
12-10-2024,Interest Credit,881.0,Income,Income
12-10-2024,Cashback Credit,873.68,Income,Income
12-11-2024,Airtel Mobile Bill,304.4,Expense,Utilities
12-12-2024,Uber Ride,182.21,Expense,Transportation
12-12-2024,YouTube Premium,139.0,Expense,Subscriptions
12-12-2024,Doctor Consultation,1614.9,Expense,Healthcare
12-12-2024,Zomato Food Delivery,531.32,Expense,Food & Dining
12-14-2024,Netflix Subscription,537.55,Expense,Subscriptions
12-14-2024,Refund Credit,1557.24,Income,Income
12-14-2024,Reliance Fresh,1641.97,Expense,Groceries
12-14-2024,ATM Withdrawal,1118.79,Expense,Miscellaneous
12-15-2024,More Supermarket,1359.05,Expense,Groceries
12-15-2024,Online Course,567.23,Expense,Education
12-15-2024,Uber Ride,242.77,Expense,Transportation
12-15-2024,BigBasket Groceries,1682.78,Expense,Groceries
12-16-2024,Salary Credit,68596.03,Income,Income
12-16-2024,Online Course,2661.96,Expense,Education
12-17-2024,Flipkart Order,1036.95,Expense,Shopping
12-18-2024,BookMyShow Tickets,589.35,Expense,Entertainment
12-19-2024,Gaming Recharge,1014.42,Expense,Entertainment
12-19-2024,Restaurant Dinner,561.53,Expense,Food & Dining
12-19-2024,BigBasket Groceries,945.34,Expense,Groceries
12-20-2024,Meesho Order,1307.4,Expense,Shopping
12-20-2024,Salary Credit,96735.24,Income,Income
12-20-2024,Newspaper Subscription,243.33,Expense,Subscriptions
12-20-2024,Hotstar Subscription,484.95,Expense,Subscriptions
12-21-2024,Coffee Shop,95.62,Expense,Food & Dining
12-22-2024,Freelance Payment,25124.81,Income,Income
12-22-2024,PVR Cinemas,522.23,Expense,Entertainment
12-22-2024,Cashback Credit,934.33,Income,Income
12-22-2024,Parking Charges,158.24,Expense,Transportation
12-23-2024,Hotstar Subscription,380.36,Expense,Subscriptions
12-23-2024,Gaming Recharge,1700.1,Expense,Entertainment
12-23-2024,Gaming Recharge,1160.81,Expense,Entertainment
12-24-2024,Apollo Pharmacy,1890.57,Expense,Healthcare
12-24-2024,Insurance Premium,8006.04,Expense,Insurance
12-25-2024,Doctor Consultation,921.08,Expense,Healthcare
12-25-2024,Doctor Consultation,1344.3,Expense,Healthcare
12-26-2024,Ola Cab,188.83,Expense,Transportation
12-28-2024,Restaurant Dinner,2744.65,Expense,Food & Dining
12-28-2024,YouTube Premium,139.0,Expense,Subscriptions
12-28-2024,Ajio Clothing,1148.16,Expense,Shopping
12-28-2024,Water Bill,743.95,Expense,Utilities
12-29-2024,Cashback Credit,572.95,Income,Income
12-29-2024,Zomato Food Delivery,704.27,Expense,Food & Dining
01-02-2025,Hotel Stay,8466.2,Expense,Travel
01-02-2025,Gaming Recharge,1214.96,Expense,Entertainment
01-02-2025,Online Course,1318.08,Expense,Education
