Date,Narration,Amount,Dr/Cr
11/12/2025,DMart Purchase,985.65,Dr
11/12/2025,Apollo Pharmacy,521.37,Dr
11/12/2025,Apollo Pharmacy,663.09,Dr
11/12/2025,Myntra Fashion,3213.4,Dr
12/12/2025,ATM Withdrawal,3660.19,Dr
12/12/2025,Jio Recharge,434.54,Dr
13/12/2025,ATM Withdrawal,2835.25,Dr
14/12/2025,Hair Salon,1122.77,Dr
15/12/2025,Hotel Stay,2213.75,Dr
16/12/2025,Hair Salon,1056.96,Dr
17/12/2025,Uber Ride,395.83,Dr
18/12/2025,BookMyShow Tickets,311.82,Dr
19/12/2025,Myntra Fashion,1937.52,Dr
21/12/2025,Online Course,2560.49,Dr
21/12/2025,Hotel Stay,8615.72,Dr
22/12/2025,Gym Membership,733.68,Dr
22/12/2025,Spotify Premium,119.0,Dr
22/12/2025,Zomato Food Delivery,209.43,Dr
24/12/2025,Coffee Shop,280.28,Dr
25/12/2025,Zomato Food Delivery,334.47,Dr
26/12/2025,Ola Cab,428.06,Dr
26/12/2025,Coffee Shop,85.84,Dr
27/12/2025,Online Course,3293.9,Dr
27/12/2025,School Fees,14150.27,Dr
27/12/2025,ATM Withdrawal,4473.96,Dr
28/12/2025,Coffee Shop,327.34,Dr
28/12/2025,Uber Ride,412.6,Dr
30/12/2025,MedPlus Medical Store,1491.8,Dr
